JS,LISP,PERL,RUBY,NET,JAVA
161,105,193,139,165,184
156,105,191,136,168,186
160,107,192,138,163,185
157,106,190,134,163,180
153,111,195,137,166,176
149,110,192,135,166,174
151,111,195,133,164,178
151,106,190,135,166,181
154,110,193,130,165,186
152,112,191,134,165,187
150,116,193,137,164,190
147,120,194,137,163,188
149,119,197,136,168,188
149,117,201,131,163,192
148,117,200,129,168,195
153,116,204,126,166,200
150,117,204,124,163,204
153,122,202,129,161,205
150,127,207,128,157,204
145,123,205,126,159,206
149,119,207,126,163,201
151,122,207,125,160,198
146,119,205,120,158,197
144,119,208,115,153,200
146,116,206,113,154,200
148,119,211,116,153,203
153,119,206,112,158,198
153,115,210,109,158,194
155,116,211,107,161,194
152,115,212,106,161,197
151,112,216,107,164,201
155,116,217,109,160,203
159,115,219,108,159,198
160,113,215,103,160,193
164,111,217,101,160,197
165,109,214,105,158,196
167,104,215,100,157,195
168,109,220,99,153,199
168,107,223,96,157,195
172,108,224,98,157,200
170,108,219,102,158,199
174,106,224,103,161,204
179,104,228,102,158,208
181,102,224,98,153,204
177,101,221,99,154,199
178,103,222,101,152,196
181,104,225,101,150,194
186,102,222,102,148,199
184,97,220,103,143,194
180,93,217,106,139,189
181,97,214,109,138,193
186,93,217,105,137,188
190,95,214,100,139,184
193,92,212,98,143,181
189,91,217,101,146,178
187,93,216,98,141,174
183,90,219,94,143,177
178,92,214,90,146,177
174,87,212,86,147,176
173,91,212,89,147,171
169,90,209,89,148,176
169,85,212,89,150,175
170,88,214,91,147,178
168,84,212,94,147,182
169,89,213,97,152,184
172,87,212,92,153,182
176,91,214,87,153,178
180,90,217,89,158,173
183,93,219,85,156,170
183,92,220,90,156,166
180,88,219,92,156,170
183,92,224,88,158,169
187,90,224,91,161,174
191,90,227,91,164,174
190,86,225,91,169,169
192,91,221,90,173,174
190,90,226,91,173,175
191,93,226,91,177,175
188,98,226,87,178,173
190,98,221,88,174,170
185,95,219,92,172,172
190,97,214,96,173,171
186,100,219,99,170,176
189,97,221,99,171,176
192,95,225,101,175,175
189,90,226,106,170,171
189,93,231,111,170,175
187,94,232,111,170,173
187,92,236,110,168,177
189,95,241,105,168,177
184,94,244,110,169,174
186,97,247,114,164,174
185,102,247,110,164,169
184,98,252,108,169,171
189,99,251,113,166,168
191,98,250,116,165,164
188,97,251,120,167,162
190,97,247,117,172,165
190,95,246,118,170,161
188,90,250,117,170,164
190,93,248,116,171,161
185,91,247,113,170,166
187,90,252,114,173,162
190,92,254,110,175,161
194,94,254,115,173,158
199,99,251,120,169,161
194,94,254,116,166,165
192,90,249,114,168,163
195,91,254,114,173,164
195,92,259,116,178,160
190,89,260,121,182,160
188,93,262,123,187,162
186,91,257,125,187,157
187,87,253,130,186,161
185,85,250,127,181,164
185,80,255,129,182,164
183,84,258,129,182,166
178,86,259,127,183,161
178,84,254,129,188,156
181,80,249,131,191,156
180,80,254,132,195,161
183,82,257,136,197,162
181,87,257,135,200,158
185,92,262,140,198,158
186,92,257,137,197,156
185,95,254,135,195,154
189,91,254,131,196,149
187,96,257,133,196,149
191,94,254,135,193,150
191,93,250,131,197,150
189,98,249,135,200,154
189,96,247,131,201,154
187,96,245,134,205,158
187,96,247,133,202,161
189,91,250,134,205,164
192,87,252,133,207,164
197,87,256,130,211,162
199,84,257,129,208,158
201,87,252,128,204,161
200,91,253,128,200,158
201,89,258,133,203,154
206,94,257,128,207,151
203,98,257,127,204,146
207,98,256,127,201,142
203,93,255,127,197,139
205,92,250,123,198,134
206,97,253,124,201,133
209,94,249,126,205,136
211,89,244,122,202,133
215,87,249,124,198,132
213,92,245,127,203,135
208,91,243,124,200,134
213,95,246,126,205,134
213,91,244,130,200,130
217,94,239,133,199,131
218,93,237,135,202,136
219,91,241,137,201,131
215,90,242,139,201,128
215,89,237,144,204,124
212,94,242,148,201,121
210,93,239,144,201,118
209,97,235,148,199,113
208,100,238,143,199,108
210,95,243,141,202,113
213,96,239,139,203,118
211,91,239,143,201,121
208,93,241,140,202,117
208,96,243,144,197,115
203,99,246,139,201,117
199,102,246,140,196,121
195,106,242,135,198,125
193,110,244,134,198,126
193,110,247,135,200,125
188,114,246,137,201,129
186,113,241,139,205,128
181,112,239,136,200,126
179,117,240,134,199,122
179,120,244,139,204,126
174,121,247,142,209,125
172,126,250,140,210,121
175,129,248,145,214,118
171,134,251,143,217,113
174,137,248,148,217,117
179,135,249,151,221,122
174,134,248,153,218,124
177,135,247,149,213,125
178,139,250,153,214,124
179,141,247,149,209,125
177,141,242,151,207,129
181,141,241,152,208,134
181,142,246,149,203,129
176,140,242,146,203,125
171,142,237,149,208,129
166,146,239,153,203,127
162,143,242,149,205,130
160,138,238,148,209,129
158,135,233,150,206,127
155,136,230,148,207,130
158,138,225,148,206,133
153,140,227,151,206,130
153,142,229,153,201,132
157,137,231,148,199,132
157,136,230,147,200,136
158,131,235,148,198,131
158,127,234,143,194,135
159,124,232,148,191,138
163,122,227,152,186,136
162,126,225,154,188,133
165,121,221,149,191,137
164,118,218,147,195,133
162,116,213,152,200,132
158,116,215,152,195,137
160,113,216,155,197,139
165,112,214,152,197,141
161,108,217,153,199,142
159,106,215,149,204,137
161,109,210,151,206,139
163,113,207,146,207,136
163,114,207,148,207,138
166,109,204,145,206,139
171,113,204,147,208,137
173,109,202,144,212,141
177,109,200,149,213,144
180,114,199,151,211,149
184,110,194,151,207,148
185,106,192,150,206,150
188,110,191,148,205,153
184,106,189,147,210,148
179,105,185,145,209,150
182,101,189,150,212,153
180,98,187,150,214,151
180,99,188,150,217,146
178,102,190,151,222,151
178,107,189,155,221,150
183,105,191,159,226,148
185,108,191,158,223,152
183,113,189,159,223,150
188,115,185,160,228,149
187,115,181,165,228,144
184,116,178,161,228,147
183,118,181,160,233,149
186,118,176,161,231,148
191,123,178,163,230,146
187,120,173,167,231,145
182,122,170,162,233,148
182,117,172,159,231,145
186,112,177,162,233,142
190,113,172,162,237,140
189,113,168,163,233,141
193,110,165,167,230,142
195,114,164,169,226,137
198,112,169,174,221,136
195,117,166,172,226,133
198,117,168,170,222,128
201,119,167,172,221,128
198,114,169,170,223,128
201,119,170,174,222,131
202,119,172,171,221,130
205,123,177,175,222,135
209,121,177,177,222,138
208,118,175,180,218,137
211,114,177,176,220,142
213,112,174,172,219,141
217,111,175,168,223,144
218,116,176,163,224,144
213,111,174,159,228,146
214,107,179,159,226,147
211,104,175,160,222,147
208,102,176,156,218,146
211,107,174,160,216,147
210,102,174,159,213,143
214,101,179,163,213,140
212,102,175,162,218,136
217,101,175,158,214,141
212,98,174,154,211,137
210,99,179,159,209,132
205,96,174,161,209,135
210,100,170,166,208,137
210,99,166,170,210,135
210,103,164,173,215,139
205,98,168,169,219,136
210,98,171,165,221,135
207,96,168,161,220,139
202,101,168,157,225,135
207,100,164,153,230,130
203,101,167,150,232,126
202,102,171,152,236,126
203,100,173,153,236,127
200,105,168,151,234,125
202,106,164,151,233,127
201,109,161,152,238,130
199,105,162,150,235,127
194,103,167,147,232,125
192,105,165,151,230,122
195,100,165,147,227,118
196,100,168,150,227,116
194,100,166,153,222,121
191,103,165,153,219,117
189,104,162,148,223,113
194,105,161,153,224,111
198,109,156,155,221,108
201,110,155,154,217,109
199,111,156,159,215,104
197,107,159,157,216,103
193,112,160,153,220,103
188,115,165,157,222,101
193,110,164,158,227,100
196,105,165,158,228,95
193,101,162,161,227,90
196,97,162,163,228,85
197,96,164,160,233,83
199,92,161,156,238,82
200,95,159,159,241,79
205,90,163,156,246,82
206,88,164,159,248,82
205,92,164,159,249,80
210,91,167,164,254,75
210,89,171,160,259,70
210,84,171,156,261,73
214,88,167,151,263,71
219,87,162,153,265,70
221,92,159,152,266,70
217,87,156,153,265,72
221,84,154,154,268,76
217,87,150,152,263,78
213,90,146,151,267,82
213,95,145,154,269,84
215,95,148,156,274,85
220,93,151,158,272,88
225,98,148,161,268,86
229,103,146,156,273,82
230,107,150,157,274,84
227,111,153,160,278,84
230,107,153,163,273,83
226,104,158,166,273,87
224,100,156,162,278,86
226,102,157,157,279,84
221,99,157,152,278,85
223,98,158,152,280,85
223,94,163,150,283,83
228,95,162,153,285,84
231,97,167,158,285,88
229,101,171,163,281,86
234,105,168,162,282,81
231,104,166,162,287,82
235,109,161,167,284,84
231,108,158,167,279,88
231,107,163,165,280,93
235,106,166,162,278,94
230,110,169,165,280,90
234,112,164,163,275,93
231,112,165,160,270,94
236,111,160,163,275,97
238,116,161,168,280,100
243,121,160,165,283,103
244,116,156,163,282,102
240,120,152,160,278,100
240,121,154,157,282,97
244,126,158,157,281,96
247,126,162,161,286,98
242,124,165,159,289,94
237,126,162,155,292,89
238,126,159,154,295,84
243,124,159,154,295,87
246,122,154,149,297,92
249,120,158,150,301,93
252,119,155,149,296,92
256,123,160,144,300,97
260,125,159,143,296,92
256,130,158,141,291,96
260,133,160,145,291,91
263,136,161,150,290,87
258,136,163,151,289,90
261,138,165,148,291,91
259,138,165,143,288,94
259,134,164,138,289,90
255,139,169,140,293,87
259,135,174,139,295,83
260,134,169,134,295,82
260,133,164,130,291,79
262,130,165,127,288,80
260,126,168,132,284,85
260,128,172,134,284,86
261,133,172,129,281,88
256,135,175,134,277,85
258,135,171,136,273,82
262,138,169,137,269,86
257,141,164,141,273,82
255,146,161,145,278,85
257,141,160,148,280,82
253,140,156,149,284,82
257,143,152,152,289,81
257,145,148,150,294,85
259,144,143,154,297,84
255,139,141,158,294,80
257,142,144,156,293,84
256,140,144,152,289,83
254,137,145,149,294,84
255,137,146,149,294,85
258,138,143,144,292,86
259,135,143,140,297,91
262,130,147,138,297,95
265,130,144,142,298,93
264,126,145,142,295,97
267,121,150,143,290,102
263,118,153,144,292,103
