JS,LISP,PERL,RUBY,NET,JAVA
40,166,128,110,185,115
36,171,124,114,189,116
41,174,125,112,188,114
36,172,128,117,187,109
40,172,127,122,185,104
40,175,130,118,182,104
40,172,128,118,185,104
42,176,126,115,190,103
43,176,125,112,195,103
41,180,127,115,198,104
42,184,123,119,195,105
37,187,128,120,197,110
41,186,124,120,201,106
46,188,125,125,205,108
47,185,126,122,209,107
45,181,122,122,212,105
40,183,118,126,215,100
43,182,115,129,212,97
45,179,112,127,208,102
46,178,113,132,208,101
49,176,115,133,209,99
44,175,113,130,213,96
44,179,115,129,213,92
39,179,111,133,212,88
38,182,107,132,213,91
42,183,109,128,212,93
47,185,113,124,209,97
46,182,113,124,214,102
43,187,116,129,215,106
42,189,113,134,210,107
39,187,116,133,209,110
39,185,116,128,204,112
44,181,115,126,202,107
46,179,110,122,199,105
45,175,111,122,196,106
42,176,108,125,199,106
40,180,105,121,204,110
36,180,100,121,207,107
31,180,100,120,207,108
30,176,97,116,206,105
26,181,102,113,201,101
23,177,103,114,198,105
25,172,100,112,195,103
30,175,98,110,190,105
30,173,100,105,194,108
27,171,103,104,193,113
31,166,103,103,190,118
33,165,102,105,188,119
29,166,101,105,193,123
30,164,98,106,192,125
28,160,99,104,187,127
31,158,98,108,182,124
27,161,98,113,179,121
23,164,99,117,183,126
25,161,99,115,179,124
27,164,104,111,180,119
32,160,100,109,181,123
28,156,97,106,179,122
26,151,102,111,182,125
29,149,102,115,186,127
25,154,107,112,182,129
29,159,109,112,179,131
27,160,106,111,183,126
23,161,108,116,184,125
25,157,103,112,183,124
27,160,101,113,181,128
30,163,97,108,177,129
31,162,94,113,182,125
30,162,96,116,187,120
25,158,97,116,191,124
24,156,100,118,191,123
20,159,102,116,196,120
17,155,97,117,200,122
22,160,102,117,197,123
27,165,98,112,196,125
22,167,94,109,200,126
19,170,98,114,197,124
15,169,95,114,196,122
15,170,99,109,191,121
14,175,95,108,188,126
9,174,98,106,183,128
14,173,95,101,185,125
14,174,94,99,187,129
18,178,95,100,187,129
18,177,95,97,187,129
21,178,96,97,192,124
19,183,100,95,187,119
19,187,98,91,183,114
22,184,96,89,181,117
23,187,94,88,176,121
18,187,95,88,181,117
14,186,90,86,185,120
16,190,90,85,186,119
14,186,89,89,190,115
17,189,94,93,192,110
12,187,95,91,191,106
10,183,92,90,194,107
6,183,88,87,199,112
7,183,88,88,198,108
10,178,90,83,201,113
9,180,93,85,198,113
12,178,98,81,197,108
11,177,94,82,193,105
6,182,94,86,195,104
8,177,95,81,197,107
13,174,95,78,193,106
9,173,97,83,189,110
10,170,102,85,190,112
8,170,100,88,189,109
9,166,96,89,192,113
12,162,97,84,194,109
15,167,98,80,197,112
20,165,95,75,198,109
22,165,99,70,201,104
24,169,102,68,197,108
24,169,98,63,195,104
23,171,96,64,193,99
26,166,97,66,192,104
21,166,97,62,197,101
25,171,97,66,192,105
30,176,99,63,187,108
28,181,97,64,184,109
32,177,92,61,180,108
37,178,92,65,185,107
41,180,87,61,188,103
42,182,84,65,186,107
44,181,80,65,181,106
47,184,78,68,186,111
44,187,82,66,186,114
42,188,85,64,182,109
40,189,85,60,182,109
36,190,80,63,177,111
39,191,75,65,181,106
36,188,74,60,182,103
40,191,71,65,187,102
35,190,72,63,191,101
31,189,68,61,192,105
31,186,69,56,188,110
35,181,67,60,189,108
35,185,66,55,184,104
35,182,67,53,188,108
30,187,68,52,187,107
32,183,71,56,192,111
27,187,66,58,192,107
22,182,64,56,188,110
20,184,63,54,189,112
20,185,60,50,186,116
19,184,65,51,182,113
21,185,65,51,186,113
23,186,64,47,186,110
27,182,67,48,185,107
32,187,63,53,187,112
31,189,66,57,191,113
28,188,61,61,192,113
29,193,58,64,191,111
34,196,57,60,191,109
29,201,59,63,186,111
24,198,54,59,190,111
28,196,58,63,190,112
23,201,59,61,194,111
27,203,61,61,189,115
31,205,56,60,192,112
33,200,52,56,187,115
32,203,47,57,188,111
36,202,50,54,192,106
33,203,49,53,194,107
38,205,53,57,197,105
41,201,56,61,195,106
36,196,59,56,194,106
34,194,64,59,198,109
29,189,65,57,195,108
27,184,66,57,198,112
24,184,61,60,196,109
21,188,65,55,195,107
17,187,60,59,198,109
21,189,60,59,201,109
21,185,64,54,205,110
21,186,60,56,209,107
16,182,60,53,212,106
14,185,61,49,209,103
17,184,61,49,207,101
12,186,62,50,206,102
12,186,60,46,209,105
14,187,59,43,213,109
12,187,62,43,213,114
12,184,62,40,215,112
17,184,61,40,215,115
14,185,62,41,218,114
17,185,57,37,215,118
17,184,54,32,219,123
21,186,53,28,220,124
21,181,52,28,223,123
21,179,52,23,226,123
23,181,51,24,228,126
19,181,55,21,226,127
23,179,55,26,225,129
18,184,55,31,221,130
